,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,0,0.066,-0.007115702718601957,0.0
1,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,1,0.066,-0.007115702718601957,0.0
2,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,2,0.068,-0.004071562688160668,0.0
3,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,3,0.134,0.09638505831640565,0.0
4,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,4,0.066,-0.007115702718601957,0.0
5,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,5,0.066,-0.007115702718601957,0.0
6,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,6,0.134,0.09638505831640565,0.0
7,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,7,0.066,-0.007115702718601957,0.0
8,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,8,0.068,-0.004071562688160668,0.0
9,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,9,0.066,-0.007115702718601957,0.0
10,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,10,0.066,-0.007115702718601957,0.0
11,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,11,0.134,0.09638505831640565,0.0
12,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,12,0.066,-0.007115702718601957,0.0
13,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,13,0.068,-0.004071562688160668,0.0
14,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,14,0.066,-0.007115702718601957,0.0
15,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,15,0.132,0.09334091828596414,0.0
16,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,16,0.066,-0.007115702718601957,0.0
17,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,17,0.068,-0.004071562688160668,0.0
18,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,18,0.132,0.09334091828596414,0.0
19,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,19,0.066,-0.007115702718601957,0.0
20,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,20,0.066,-0.007115702718601957,0.0
21,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,21,0.066,-0.007115702718601957,0.0
22,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,22,0.066,-0.007115702718601957,0.0
23,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,23,0.134,0.09638505831640565,0.0
24,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,24,0.066,-0.007115702718601957,0.0
25,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,25,0.066,-0.007115702718601957,0.0
26,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,26,0.066,-0.007115702718601957,0.0
27,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,27,0.066,-0.007115702718601957,0.0
28,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,28,0.132,0.09334091828596414,0.0
29,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,29,0.068,-0.004071562688160668,0.0
30,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,30,0.134,0.09638505831640565,0.0
31,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,31,0.066,-0.007115702718601957,0.0
32,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,32,0.066,-0.007115702718601957,0.0
33,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,33,0.068,-0.004071562688160668,0.0
34,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,34,0.066,-0.007115702718601957,0.0
35,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,35,0.134,0.09638505831640565,0.0
36,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,36,0.066,-0.007115702718601957,0.0
37,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,37,0.068,-0.004071562688160668,0.0
38,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,38,0.068,-0.004071562688160668,0.0
39,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,39,0.134,0.09638505831640565,0.0
40,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,40,0.066,-0.007115702718601957,0.0
41,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,41,0.2,0.19684167932097174,0.0
42,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,42,0.066,-0.007115702718601957,0.0
43,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,43,0.068,-0.004071562688160668,0.0
44,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,44,0.068,-0.004071562688160668,0.0
45,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,45,0.132,0.09334091828596414,0.0
46,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,46,0.066,-0.007115702718601957,0.0
47,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,47,0.066,-0.007115702718601957,0.0
48,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,48,0.066,-0.007115702718601957,0.0
49,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,49,0.134,0.09638505831640565,0.0
50,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,50,0.068,-0.004071562688160668,0.0
51,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,51,0.066,-0.007115702718601957,0.0
52,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,52,0.066,-0.007115702718601957,0.0
53,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,53,0.132,0.09334091828596414,0.0
54,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,54,0.066,-0.007115702718601957,0.0
55,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,55,0.066,-0.007115702718601957,0.0
56,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,56,0.134,0.09638505831640565,0.0
57,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,57,0.066,-0.007115702718601957,0.0
58,contextOSE,ec2_cpu_utilization_c6585a_adddata-240214123604,58,0.066,-0.007115702718601957,0.0
