,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,0,0.066,-0.0068707215117363996,0.0
1,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,1,0.066,-0.0068707215117363996,0.0
2,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,2,0.068,-0.0038265814812951104,0.0
3,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,3,0.134,0.0966300395232712,0.0
4,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,4,0.066,-0.0068707215117363996,0.0
5,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,5,0.066,-0.0068707215117363996,0.0
6,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,6,0.134,0.0966300395232712,0.0
7,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,7,0.066,-0.0068707215117363996,0.0
8,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,8,0.068,-0.0038265814812951104,0.0
9,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,9,0.066,-0.0068707215117363996,0.0
10,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,10,0.066,-0.0068707215117363996,0.0
11,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,11,0.134,0.0966300395232712,0.0
12,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,12,0.066,-0.0068707215117363996,0.0
13,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,13,0.068,-0.0038265814812951104,0.0
14,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,14,0.066,-0.0068707215117363996,0.0
15,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,15,0.132,0.0935858994928297,0.0
16,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,16,0.066,-0.0068707215117363996,0.0
17,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,17,0.068,-0.0038265814812951104,0.0
18,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,18,0.132,0.0935858994928297,0.0
19,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,19,0.066,-0.0068707215117363996,0.0
20,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,20,0.066,-0.0068707215117363996,0.0
21,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,21,0.066,-0.0068707215117363996,0.0
22,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,22,0.066,-0.0068707215117363996,0.0
23,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,23,0.134,0.0966300395232712,0.0
24,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,24,0.066,-0.0068707215117363996,0.0
25,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,25,0.066,-0.0068707215117363996,0.0
26,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,26,0.066,-0.0068707215117363996,0.0
27,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,27,0.066,-0.0068707215117363996,0.0
28,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,28,0.132,0.0935858994928297,0.0
29,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,29,0.068,-0.0038265814812951104,0.0
30,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,30,0.134,0.0966300395232712,0.0
31,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,31,0.066,-0.0068707215117363996,0.0
32,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,32,0.066,-0.0068707215117363996,0.0
33,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,33,0.068,-0.0038265814812951104,0.0
34,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,34,0.066,-0.0068707215117363996,0.0
35,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,35,0.134,0.0966300395232712,0.0
36,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,36,0.066,-0.0068707215117363996,0.0
37,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,37,0.068,-0.0038265814812951104,0.0
38,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,38,0.068,-0.0038265814812951104,0.0
39,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,39,0.134,0.0966300395232712,0.0
40,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,40,0.066,-0.0068707215117363996,0.0
41,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,41,0.2,0.1970866605278373,0.0
42,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,42,0.066,-0.0068707215117363996,0.0
43,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,43,0.068,-0.0038265814812951104,0.0
44,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,44,0.068,-0.0038265814812951104,0.0
45,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,45,0.132,0.0935858994928297,0.0
46,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,46,0.066,-0.0068707215117363996,0.0
47,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,47,0.066,-0.0068707215117363996,0.0
48,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,48,0.066,-0.0068707215117363996,0.0
49,earthgeckoSkyline,ec2_cpu_utilization_c6585a_adddata-240214123604,49,0.134,0.0966300395232712,0.0
