,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,0,0.066,-0.00681144211487239,0.0
1,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,1,0.066,-0.00681144211487239,0.0
2,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,2,0.068,-0.003767302084431101,0.0
3,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,3,0.134,0.09668931892013521,0.0
4,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,4,0.066,-0.00681144211487239,0.0
5,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,5,0.066,-0.00681144211487239,0.0
6,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,6,0.134,0.09668931892013521,0.0
7,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,7,0.066,-0.00681144211487239,0.0
8,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,8,0.068,-0.003767302084431101,0.0
9,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,9,0.066,-0.00681144211487239,0.0
10,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,10,0.066,-0.00681144211487239,0.0
11,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,11,0.134,0.09668931892013521,0.0
12,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,12,0.066,-0.00681144211487239,0.0
13,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,13,0.068,-0.003767302084431101,0.0
14,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,14,0.066,-0.00681144211487239,0.0
15,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,15,0.132,0.0936451788896937,0.0
16,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,16,0.066,-0.00681144211487239,0.0
17,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,17,0.068,-0.003767302084431101,0.0
18,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,18,0.132,0.0936451788896937,0.0
19,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,19,0.066,-0.00681144211487239,0.0
20,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,20,0.066,-0.00681144211487239,0.0
21,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,21,0.066,-0.00681144211487239,0.0
22,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,22,0.066,-0.00681144211487239,0.0
23,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,23,0.134,0.09668931892013521,0.0
24,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,24,0.066,-0.00681144211487239,0.0
25,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,25,0.066,-0.00681144211487239,0.0
26,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,26,0.066,-0.00681144211487239,0.0
27,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,27,0.066,-0.00681144211487239,0.0
28,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,28,0.132,0.0936451788896937,0.0
29,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,29,0.068,-0.003767302084431101,0.0
30,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,30,0.134,0.09668931892013521,0.0
31,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,31,0.066,-0.00681144211487239,0.0
32,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,32,0.066,-0.00681144211487239,0.0
33,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,33,0.068,-0.003767302084431101,0.0
34,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,34,0.066,-0.00681144211487239,0.0
35,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,35,0.134,0.09668931892013521,0.0
36,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,36,0.066,-0.00681144211487239,0.0
37,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,37,0.068,-0.003767302084431101,0.0
38,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,38,0.068,-0.003767302084431101,0.0
39,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,39,0.134,0.09668931892013521,0.0
40,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,40,0.066,-0.00681144211487239,0.0
41,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,41,0.2,0.1971459399247013,0.0
42,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,42,0.066,-0.00681144211487239,0.0
43,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,43,0.068,-0.003767302084431101,0.0
44,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,44,0.068,-0.003767302084431101,0.0
45,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,45,0.132,0.0936451788896937,0.0
46,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,46,0.066,-0.00681144211487239,0.0
47,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,47,0.066,-0.00681144211487239,0.0
48,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,48,0.066,-0.00681144211487239,0.0
49,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,49,0.134,0.09668931892013521,0.0
50,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,50,0.068,-0.003767302084431101,0.0
51,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,51,0.066,-0.00681144211487239,0.0
52,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,52,0.066,-0.00681144211487239,0.0
53,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,53,0.132,0.0936451788896937,0.0
54,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,54,0.066,-0.00681144211487239,0.0
55,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,55,0.066,-0.00681144211487239,0.0
56,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,56,0.134,0.09668931892013521,0.0
57,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,57,0.066,-0.00681144211487239,0.0
58,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,58,0.066,-0.00681144211487239,0.0
59,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,59,0.068,-0.003767302084431101,0.0
60,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,60,0.132,0.0936451788896937,0.0
61,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,61,0.066,-0.00681144211487239,0.0
62,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,62,0.066,-0.00681144211487239,0.0
63,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,63,0.066,-0.00681144211487239,0.0
64,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,64,0.066,-0.00681144211487239,0.0
65,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,65,0.134,0.09668931892013521,0.0
66,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,66,0.066,-0.00681144211487239,0.0
67,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,67,0.066,-0.00681144211487239,0.0
68,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,68,0.132,0.963776793179246,0.0
69,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,69,0.066,-0.00681144211487239,0.0
70,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,70,0.068,0.02260032259101008,0.0
71,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,71,0.068,0.02260032259101008,0.0
72,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,72,0.132,0.963776793179246,0.0
73,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,73,0.066,-0.00681144211487239,0.0
74,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,74,0.066,-0.00681144211487239,0.0
75,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,75,0.066,-0.00681144211487239,0.0
76,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,76,0.134,0.9931885578851285,0.0
77,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,77,0.066,-0.00681144211487239,0.0
78,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,78,0.066,-0.00681144211487239,0.0
79,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,79,0.132,0.963776793179246,0.0
80,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,80,0.066,-0.00681144211487239,0.0
81,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,81,0.066,-0.00681144211487239,0.0
82,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,82,0.066,-0.00681144211487239,0.0
83,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,83,0.066,-0.00681144211487239,0.0
84,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,84,0.134,1.008113931019456,0.0
85,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,85,0.068,0.023039304153784412,0.0
86,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,86,0.066,-0.00681144211487239,0.0
87,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,87,0.066,-0.00681144211487239,0.0
88,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,88,0.134,1.008113931019456,0.0
89,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,89,0.066,-0.00681144211487239,0.0
90,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,90,0.066,-0.00681144211487239,0.0
91,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,91,0.134,1.008113931019456,0.0
92,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,92,0.066,-0.00681144211487239,0.0
93,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,93,0.066,-0.00681144211487239,0.0
94,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,94,0.066,-0.00681144211487239,0.0
95,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,95,0.134,1.008113931019456,0.0
96,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,96,0.066,-0.00681144211487239,0.0
97,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,97,0.066,-0.00681144211487239,0.0
98,knncad,ec2_cpu_utilization_c6585a_adddata-240214123604,98,0.066,-0.00681144211487239,0.0
