,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,0,0.066,-0.00679569442061001,0.0
1,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,1,0.066,-0.00679569442061001,0.0
2,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,2,0.068,-0.003751554390168721,0.0
3,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,3,0.134,0.0967050666143976,0.0
4,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,4,0.066,-0.00679569442061001,0.0
5,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,5,0.066,-0.00679569442061001,0.0
6,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,6,0.134,0.0967050666143976,0.0
7,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,7,0.066,-0.00679569442061001,0.0
8,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,8,0.068,-0.003751554390168721,0.0
9,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,9,0.066,-0.00679569442061001,0.0
10,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,10,0.066,-0.00679569442061001,0.0
11,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,11,0.134,0.0967050666143976,0.0
12,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,12,0.066,-0.00679569442061001,0.0
13,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,13,0.068,-0.003751554390168721,0.0
14,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,14,0.066,-0.00679569442061001,0.0
15,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,15,0.132,0.09366092658395608,0.0
16,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,16,0.066,-0.00679569442061001,0.0
17,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,17,0.068,-0.003751554390168721,0.0
18,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,18,0.132,0.09366092658395608,0.0
19,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,19,0.066,-0.00679569442061001,0.0
20,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,20,0.066,-0.00679569442061001,0.0
21,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,21,0.066,-0.00679569442061001,0.0
22,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,22,0.066,-0.00679569442061001,0.0
23,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,23,0.134,0.0967050666143976,0.0
24,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,24,0.066,-0.00679569442061001,0.0
25,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,25,0.066,-0.00679569442061001,0.0
26,relativeEntropy,ec2_cpu_utilization_c6585a_adddata-240214123604,26,0.066,-0.00679569442061001,0.0
