,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,0,0.066,-0.006764001504894979,0.0
1,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,1,0.066,-0.006764001504894979,0.5
2,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,2,0.068,-0.0037198614744536895,1.0
3,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,3,0.134,0.09673675953011263,1.0
4,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,4,0.066,-0.006764001504894979,0.7257403540492877
5,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,5,0.066,-0.006764001504894979,0.6978773510231229
6,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,6,0.134,0.09673675953011263,0.9872955620511487
7,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,7,0.066,-0.006764001504894979,0.7406645610712665
8,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,8,0.068,-0.0037198614744536895,0.6985874613848634
9,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,9,0.066,-0.006764001504894979,0.7104441720441951
10,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,10,0.066,-0.006764001504894979,0.6978773510231229
11,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,11,0.134,0.09673675953011263,0.9830154023569916
12,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,12,0.066,-0.006764001504894979,0.7231966502448237
13,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,13,0.068,-0.0037198614744536895,0.688427085077036
14,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,14,0.066,-0.006764001504894979,0.7059941282218016
15,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,15,0.132,0.09369261949967111,0.9728936926054084
16,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,16,0.066,-0.006764001504894979,0.7238509060975766
17,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,17,0.068,-0.0037198614744536895,0.691594854003994
18,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,18,0.132,0.09369261949967111,0.9653132980873097
19,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,19,0.066,-0.006764001504894979,0.731311615481245
20,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,20,0.066,-0.006764001504894979,0.7242554301713571
21,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,21,0.066,-0.006764001504894979,0.7178044842505991
22,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,22,0.066,-0.006764001504894979,0.7118774014951954
23,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,23,0.134,0.09673675953011263,0.9729146436207166
24,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,24,0.066,-0.006764001504894979,0.7232198730622748
25,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,25,0.066,-0.006764001504894979,0.7178383381640652
26,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,26,0.066,-0.006764001504894979,0.7128262840203784
27,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,27,0.066,-0.006764001504894979,0.7081434907890225
28,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,28,0.132,0.09369261949967111,0.9689457518058014
29,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,29,0.068,-0.0037198614744536895,0.6937820654628153
30,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,30,0.134,0.09673675953011263,0.9672745386631172
31,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,31,0.066,-0.006764001504894979,0.727202879548632
32,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,32,0.066,-0.006764001504894979,0.7229041240179691
33,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,33,0.068,-0.0037198614744536895,0.6948394338841715
34,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,34,0.066,-0.006764001504894979,0.7159052722061073
35,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,35,0.134,0.09673675953011263,0.9687666279593313
36,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,36,0.066,-0.006764001504894979,0.7232198730622746
37,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,37,0.068,-0.0037198614744536895,0.695666421454867
38,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,38,0.068,-0.0037198614744536895,0.6926802703968213
39,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,39,0.134,0.09673675953011263,0.9677341065391597
40,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,40,0.066,-0.006764001504894979,0.7242411212444302
41,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,41,0.2,0.19719338053467872,0.9999772392212126
42,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,42,0.066,-0.006764001504894979,0.7206851461623924
43,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,43,0.068,-0.0037198614744536895,0.6969543834031185
44,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,44,0.068,-0.0037198614744536895,0.6943554067791669
45,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,45,0.132,0.09369261949967111,0.9270916710678705
46,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,46,0.066,-0.006764001504894979,0.7214198971943266
47,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,47,0.066,-0.006764001504894979,0.718593410837876
48,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,48,0.066,-0.006764001504894979,0.7158719169537134
49,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,49,0.134,0.09673675953011263,0.9376169450501488
50,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,50,0.068,-0.0037198614744536895,0.700231939182156
51,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,51,0.066,-0.006764001504894979,0.7189914987737666
52,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,52,0.066,-0.006764001504894979,0.7164738538717524
53,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,53,0.132,0.09369261949967111,0.9313307755583258
54,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,54,0.066,-0.006764001504894979,0.7212105083603099
55,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,55,0.066,-0.006764001504894979,0.7187989602508986
56,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,56,0.134,0.09673675953011263,0.9386732134351445
57,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,57,0.066,-0.006764001504894979,0.7232493337915658
58,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,58,0.066,-0.006764001504894979,0.7209351317277622
59,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,59,0.068,-0.0037198614744536895,0.6973304447320078
60,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,60,0.132,0.09369261949967111,0.9321628706963823
61,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,61,0.066,-0.006764001504894979,0.7232727774131489
62,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,62,0.066,-0.006764001504894979,0.7211078412996991
63,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,63,0.066,-0.006764001504894979,0.7190043363538303
64,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,64,0.066,-0.006764001504894979,0.7169594290158293
65,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,65,0.134,0.09673675953011263,0.9435213623162492
66,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,66,0.066,-0.006764001504894979,0.720886579478856
67,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,67,0.066,-0.006764001504894979,0.7189114507834632
68,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,68,0.132,0.9638242337892234,1.0
69,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,69,0.066,-0.006764001504894979,0.6320561786062824
70,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,70,0.068,0.022647763200987492,0.5369651885011614
71,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,71,0.068,0.022647763200987492,0.5367024690603901
72,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,72,0.132,0.9638242337892234,0.9999999999999956
73,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,73,0.066,-0.006764001504894979,0.6293931772689935
74,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,74,0.066,-0.006764001504894979,0.628455762008137
75,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,75,0.066,-0.006764001504894979,0.6275384194183423
76,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,76,0.134,0.9932359984951059,0.9999999990497951
77,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,77,0.066,-0.006764001504894979,0.6304535340931862
78,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,78,0.066,-0.006764001504894979,0.6295560934977233
79,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,79,0.132,0.9638242337892234,0.9999993265247129
80,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,80,0.066,-0.006764001504894979,0.6346464946916457
81,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,81,0.066,-0.006764001504894979,0.633750856284676
82,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,82,0.066,-0.006764001504894979,0.6328728452662061
83,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,83,0.066,-0.006764001504894979,0.6320118912599563
84,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,84,0.134,1.0081613716294333,0.9999972832532986
85,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,85,0.068,0.023086744763761824,0.5874127178175931
86,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,86,0.066,-0.006764001504894979,0.6367610610590557
87,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,87,0.066,-0.006764001504894979,0.6359124104601437
88,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,88,0.134,1.0081613716294333,0.9999817703733319
89,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,89,0.066,-0.006764001504894979,0.6409118642787136
90,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,90,0.066,-0.006764001504894979,0.6400630178439184
91,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,91,0.134,1.0081613716294333,0.9999293111412983
92,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,92,0.066,-0.006764001504894979,0.6449613416567576
93,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,93,0.066,-0.006764001504894979,0.6441126867073516
94,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,94,0.066,-0.006764001504894979,0.6432787518495903
95,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,95,0.134,1.0081613716294333,0.9998276866683767
96,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,96,0.066,-0.006764001504894979,0.6479834379276415
97,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,97,0.066,-0.006764001504894979,0.6471501639134181
98,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,98,0.066,-0.006764001504894979,0.6463307964727592
99,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,99,0.134,1.0081613716294333,0.9996636642913839
100,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,100,0.068,0.023086744763761824,0.6109966674634717
101,windowedGaussian,ec2_cpu_utilization_c6585a_adddata-240214123604,101,0.066,-0.006764001504894979,0.650438968836331
