,value
0,0.132
1,0.134
2,0.134
3,0.134
4,0.134
5,0.134
6,0.134
7,0.134
8,0.066
9,0.132
10,0.134
11,0.066
12,0.132
13,0.2019999999999999
14,0.068
15,0.134
16,0.132
17,0.134
18,0.134
19,0.136
20,0.132
21,0.134
22,0.134
23,0.066
24,0.134
25,0.134
26,0.066
27,0.134
28,0.134
29,0.134
30,0.132
31,0.136
32,0.134
33,0.134
34,0.132
35,0.132
36,0.134
37,0.134
38,0.066
39,0.134
40,0.134
41,0.2019999999999999
42,0.134
43,0.134
44,0.134
45,0.068
46,0.132
47,0.134
48,0.134
49,0.134
50,0.134
51,0.134
52,0.134
53,0.134
54,0.066
55,0.134
56,0.134
57,0.134
58,0.066
59,0.132
60,0.134
61,0.2
62,0.132
63,0.134
64,0.136
65,0.132
66,0.066
67,0.134
68,0.134
69,0.134
70,0.2
71,0.132
72,0.136
73,0.134
74,0.134
75,0.134
76,0.066
77,0.134
78,0.134
79,0.134
80,0.134
81,0.132
82,0.066
83,0.134
84,0.132
85,0.134
86,0.132
87,0.066
88,0.134
89,0.132
90,0.134
91,0.134
92,0.066
93,0.134
94,0.132
95,0.134
96,0.132
97,0.068
98,0.132
99,0.132
100,0.134
101,0.132
102,0.134
103,0.134
104,0.134
105,0.066
106,0.132
107,0.132
108,0.066
109,0.136
110,0.134
111,0.066
112,0.134
113,0.2
114,0.134
115,0.134
116,0.066
117,0.132
118,0.134
119,0.066
120,0.136
121,0.134
122,0.134
123,0.066
124,0.134
125,0.134
126,0.134
127,0.068
128,0.132
129,0.134
130,0.134
131,0.068
132,0.134
133,0.134
134,0.134
135,0.134
136,0.134
137,0.134
138,0.066
139,0.134
140,0.132
141,0.134
142,0.066
143,0.132
144,0.132
145,0.066
146,0.134
147,0.134
148,0.136
149,0.134
150,0.134
151,1.466
152,0.066
153,0.134
154,0.134
155,0.134
156,0.134
157,0.134
158,0.132
159,0.066
160,0.134
161,0.132
162,0.134
163,0.066
164,0.134
165,0.134
166,0.134
167,0.068
168,0.132
169,0.134
170,0.066
171,0.132
172,0.134
173,0.134
174,0.066
175,0.134
176,0.132
177,0.134
178,0.066
179,0.136
180,0.068
181,0.132
182,0.132
183,0.134
184,0.134
185,0.2
186,0.066
187,0.134
188,0.134
189,0.068
190,0.132
191,0.066
192,0.132
193,0.136
194,0.066
195,0.132
196,0.134
197,0.134
198,0.066
199,0.134
200,0.132
201,0.066
202,0.134
203,0.134
204,0.134
205,0.066
206,0.134
207,0.132
208,0.066
209,0.134
210,0.134
211,0.134
212,0.068
213,0.134
214,0.068
215,0.132
216,0.134
217,0.134
218,0.066
219,0.134
220,0.134
221,0.134
222,0.066
223,0.132
224,0.134
225,0.066
226,0.134
227,0.134
228,0.134
229,0.066
230,0.134
231,0.134
232,0.132
233,0.134
234,0.068
235,0.134
236,0.132
237,0.066
238,0.134
239,0.134
240,0.066
241,0.132
242,0.132
243,0.134
244,0.134
245,0.132
246,0.068
247,0.132
248,0.132
249,0.134
250,0.066
251,0.134
252,0.066
253,0.132
254,0.136
255,0.134
256,0.068
257,0.132
258,0.132
259,0.134
260,0.134
261,0.132
262,0.066
263,0.134
264,0.132
265,0.134
266,0.134
267,0.066
268,0.134
269,0.2
270,0.134
271,0.066
272,0.134
273,0.136
274,0.134
275,0.066
276,0.134
277,0.134
278,0.134
279,0.134
280,0.134
281,0.134
282,0.134
283,0.066
284,0.134
285,0.134
286,0.132
287,0.134
288,0.134
289,0.066
290,0.134
291,0.134
292,0.132
293,0.132
294,0.134
295,0.132
296,0.066
297,0.132
298,0.134
299,0.132
300,0.134
301,0.068
302,0.134
303,0.134
304,0.134
305,0.134
306,0.132
307,0.204
308,0.066
309,0.132
310,0.134
311,0.066
312,0.134
313,0.134
314,0.134
315,0.066
316,0.134
317,0.134
318,0.134
319,0.132
320,0.134
321,0.134
322,0.066
323,0.134
324,0.136
325,0.134
326,0.066
327,0.134
328,0.134
329,0.132
330,0.134
331,0.134
332,0.134
333,0.068
334,0.134
335,0.066
336,0.132
337,0.132
338,0.066
339,0.132
340,0.134
341,0.134
342,0.134
343,0.134
344,0.132
345,0.134
346,0.134
347,0.066
348,0.134
349,0.134
350,0.134
351,0.066
352,0.132
353,0.132
354,0.134
355,0.066
356,0.136
357,0.134
358,0.134
359,0.132
360,0.068
361,0.132
362,0.134
363,0.066
364,0.132
365,0.134
366,0.134
367,0.134
368,0.066
369,0.134
370,0.134
371,0.134
372,0.066
373,0.134
374,0.066
375,0.134
376,0.136
377,0.136
378,0.134
379,0.066
380,0.134
381,0.134
382,0.134
383,0.066
384,0.134
385,0.132
386,0.066
387,0.134
388,0.134
389,0.136
390,0.066
391,0.134
392,0.134
393,0.066
394,0.134
395,0.134
396,0.066
397,0.134
398,0.134
399,0.066
400,0.132
401,0.134
402,0.134
403,0.134
404,0.066
405,0.132
406,0.068
407,0.132
408,0.134
409,0.066
410,0.134
411,0.136
412,0.068
413,0.134
414,0.134
415,0.134
416,0.066
417,0.134
418,0.134
419,0.134
420,0.132
421,0.066
422,0.134
423,0.134
424,0.198
425,0.134
426,0.134
427,0.136
428,0.132
429,0.066
430,0.132
431,0.066
432,0.134
433,0.132
434,0.068
435,0.134
436,0.134
437,0.134
438,0.134
439,1.534
440,0.134
441,0.134
442,0.066
443,0.134
444,0.068
445,0.132
446,0.134
447,0.066
448,0.132
449,0.134
450,0.134
451,0.134
452,0.068
453,0.134
454,0.132
455,0.066
456,0.132
457,0.134
458,0.066
459,0.134
460,0.134
461,0.134
462,0.134
463,0.066
464,0.134
465,0.066
466,0.134
467,0.134
468,0.132
469,0.066
470,0.132
471,0.066
472,0.134
473,0.132
474,0.134
475,0.134
476,0.068
477,0.134
478,0.066
479,0.134
480,0.132
481,0.066
482,0.134
483,0.066
484,0.132
485,0.132
486,0.134
487,0.066
488,0.134
489,0.132
490,0.068
491,0.134
492,0.134
493,0.066
494,0.134
495,0.134
496,0.134
497,0.134
498,0.132
499,0.066
500,0.134
501,0.066
502,0.132
503,0.134
504,0.066
505,0.134
506,0.134
507,0.134
508,0.066
509,0.134
510,0.134
511,0.132
512,0.134
513,0.066
514,0.132
515,0.132
516,0.066
517,0.134
518,0.132
519,0.068
520,0.132
521,0.134
522,0.134
523,0.132
524,0.066
525,0.134
526,0.132
527,0.066
528,0.132
529,0.134
530,0.066
531,0.132
532,0.132
533,0.132
534,0.132
535,0.134
536,0.068
537,0.132
538,0.134
539,0.134
540,0.066
541,0.132
542,0.132
543,0.134
544,0.068
545,0.134
546,0.134
547,0.066
548,0.132
549,0.132
550,0.066
551,0.132
552,0.2
553,0.066
554,0.134
555,0.132
556,0.066
557,0.134
558,0.134
559,0.066
560,0.132
561,0.134
562,0.068
563,0.134
564,0.134
565,0.134
566,0.066
567,0.134
568,0.132
569,0.134
570,0.066
571,0.132
572,0.134
573,0.066
574,0.134
575,0.134
576,0.136
577,0.066
578,0.134
579,0.132
580,0.066
581,0.132
582,0.134
583,0.134
584,0.066
585,0.132
586,0.134
587,0.134
588,0.134
589,0.066
590,0.134
591,0.134
592,0.134
593,0.132
594,0.134
595,0.132
596,0.066
597,0.132
598,0.134
