,value
0,251643.0
1,3203510.0
2,287397.0
3,238944.0
4,245880.0
5,234170.0
6,255797.0
7,244002.0
8,514385.0
9,270883.0
10,249887.0
11,3201940.0
12,280638.0
13,3231740.0
14,223158.0
15,242568.0
16,221907.0
17,248537.0
18,223433.0
19,247310.0
20,224771.0
21,223668.0
22,240044.0
23,3221290.0
24,235606.0
25,3202800.0
26,244192.0
27,231729.0
28,251450.0
29,219342.0
30,241032.0
31,219744.0
32,232511.0
33,237811.0
34,226034.0
35,3220170.0
36,228654.0
37,3227830.0
38,256906.0
39,216462.0
40,238240.0
41,233821.0
42,239067.0
43,229348.0
44,233914.0
45,245289.0
46,3201090.0
47,249867.0
48,3207780.0
49,241860.0
50,220347.0
51,244003.0
52,3223880.0
53,1046040.0
54,1477550.0
55,239252.0
56,245477.0
57,233018.0
58,3213870.0
59,241929.0
60,3208820.0
61,236597.0
62,239443.0
63,244422.0
64,225751.0
65,250915.0
66,223452.0
67,248468.0
68,223264.0
69,248395.0
70,3213880.0
71,252731.0
72,3197710.0
73,244921.0
74,236245.0
75,241661.0
76,239502.0
77,226975.0
78,236693.0
79,227811.0
80,252527.0
81,246855.0
82,3304330.0
83,247814.0
84,3344340.0
85,162030.0
86,231891.0
87,245066.0
88,215014.0
89,256753.0
90,214400.0
91,252184.0
92,227100.0
93,257610.0
94,3244530.0
95,226090.0
96,3223170.0
97,243799.0
98,223899.0
99,242690.0
100,243337.0
101,237122.0
102,244758.0
103,234992.0
104,245196.0
105,235424.0
106,3235630.0
107,230811.0
108,3222420.0
109,248917.0
110,231741.0
111,249645.0
112,232232.0
113,250527.0
114,236964.0
115,239944.0
116,225171.0
117,258593.0
118,3208930.0
119,234706.0
120,3233600.0
121,240440.0
122,248880.0
123,230407.0
124,251796.0
125,232703.0
126,249573.0
127,217737.0
128,239745.0
129,4119680.0
130,226480.0
131,251084.0
132,3206870.0
133,240960.0
134,238029.0
135,248519.0
136,236986.0
137,234174.0
138,235833.0
139,241185.0
140,233637.0
141,235894.0
142,3239200.0
143,249254.0
144,3226810.0
145,219341.0
146,250379.0
147,243888.0
148,231633.0
149,229597.0
150,249854.0
151,226666.0
152,235965.0
153,253658.0
154,3230240.0
155,254252.0
156,3208580.0
157,248958.0
158,226541.0
159,240359.0
160,236906.0
161,247200.0
162,244932.0
163,249894.0
164,226273.0
165,236794.0
166,3234110.0
167,255988.0
168,3226730.0
169,224082.0
170,247132.0
171,238059.0
172,248839.0
173,224071.0
174,236928.0
175,243858.0
176,245120.0
177,251672.0
178,3220620.0
179,249774.0
180,3213390.0
181,257850.0
182,240188.0
183,257911.0
184,235086.0
185,243701.0
186,244044.0
187,231573.0
188,243532.0
189,240454.0
190,3251260.0
191,238736.0
192,3239740.0
193,235562.0
194,240626.0
195,247963.0
196,226795.0
197,251630.0
198,224232.0
199,256887.0
200,237801.0
201,362671.0
202,3222900.0
203,258759.0
204,3224910.0
205,246360.0
206,240932.0
207,243533.0
208,261247.0
209,230275.0
210,339881.0
211,227804.0
212,242555.0
213,244851.0
214,3250750.0
215,249325.0
216,3274500.0
217,283687.0
218,258379.0
219,246106.0
220,280576.0
221,252687.0
222,231879.0
223,262455.0
224,252149.0
225,279481.0
226,3233780.0
227,271502.0
228,3220700.0
229,240858.0
230,261069.0
231,244989.0
232,481000.0
233,235286.0
234,254224.0
235,250720.0
236,257494.0
237,233894.0
238,3246910.0
239,278634.0
240,3918490.0
241,263208.0
242,200207.0
243,257217.0
244,519379.0
245,240185.0
246,242636.0
247,258694.0
248,235679.0
249,286345.0
250,3261670.0
251,265977.0
252,3244310.0
253,287114.0
254,249791.0
255,258317.0
256,264376.0
257,247026.0
258,259991.0
259,292481.0
260,1002760.0
261,236195.0
262,3279040.0
263,272351.0
264,3211510.0
265,260472.0
266,222967.0
267,265742.0
268,233810.0
269,251803.0
270,949974.0
271,244745.0
272,225958.0
273,248437.0
274,3243150.0
275,327555.0
276,3230800.0
277,243546.0
278,249660.0
279,248546.0
280,249705.0
281,246404.0
282,256637.0
283,239185.0
284,232288.0
285,252184.0
286,3232280.0
287,266277.0
288,3256130.0
289,246209.0
290,235662.0
291,277695.0
292,249218.0
293,305164.0
294,246120.0
295,237437.0
296,265308.0
297,248585.0
298,3245180.0
299,241909.0
300,3253080.0
301,262847.0
302,261045.0
303,267438.0
304,266667.0
305,235504.0
306,306849.0
307,243843.0
308,238067.0
309,251585.0
310,3218610.0
311,249952.0
312,3214260.0
313,244738.0
314,236009.0
315,243525.0
316,251869.0
317,247750.0
318,237585.0
319,232251.0
320,244425.0
321,246994.0
322,3224600.0
323,3231950.0
324,3230920.0
325,240758.0
326,247018.0
327,227611.0
328,240378.0
329,241621.0
330,237751.0
331,258200.0
332,226063.0
333,259598.0
334,3225870.0
335,253252.0
336,3227900.0
337,243886.0
338,222755.0
339,251731.0
340,232475.0
341,241836.0
342,247473.0
343,238192.0
344,248777.0
345,245535.0
346,3239170.0
347,248277.0
348,3240020.0
349,233162.0
350,231319.0
351,254581.0
352,234406.0
353,248665.0
354,241438.0
355,251713.0
356,228064.0
357,269810.0
358,3228730.0
359,267368.0
360,3211740.0
361,342062.0
362,248293.0
363,241611.0
364,255464.0
365,237297.0
366,240442.0
367,244156.0
368,252098.0
369,237622.0
370,3233770.0
371,238456.0
372,3234340.0
373,236182.0
374,235840.0
375,254726.0
376,232628.0
377,244211.0
378,233693.0
379,247003.0
380,239926.0
381,249384.0
382,3218600.0
383,255874.0
384,3217690.0
385,244198.0
386,237503.0
387,237900.0
388,250015.0
389,221923.0
390,254591.0
391,238493.0
392,242676.0
393,242609.0
394,3226930.0
395,250544.0
396,3219490.0
397,247572.0
398,228470.0
399,246320.0
400,226119.0
401,254107.0
402,236567.0
