,value
0,94.0
1,56.0
2,187.0
3,95.0
4,51.0
5,10.0
6,49.0
7,79.0
8,24.0
9,73.0
10,45.0
11,9.0
12,33.0
13,14.0
14,57.0
15,139.0
16,21.0
17,47.0
18,124.0
19,34.0
20,73.0
21,6.0
22,115.0
23,14.0
24,21.0
25,91.0
26,55.0
27,85.0
28,102.0
29,119.0
30,139.0
31,69.0
32,142.0
33,45.0
34,48.0
35,3.0
36,32.0
37,4.0
38,72.0
39,103.0
40,64.0
41,44.0
42,30.0
43,4.0
44,4.0
45,79.0
46,83.0
47,3.0
48,21.0
49,33.0
50,72.0
51,87.0
52,190.0
53,10.0
54,44.0
55,24.0
56,32.0
57,111.0
58,106.0
59,49.0
60,56.0
61,79.0
62,42.0
63,112.0
64,21.0
65,48.0
66,48.0
67,91.0
68,191.0
69,8.0
70,25.0
71,93.0
72,37.0
73,24.0
74,35.0
75,45.0
76,11.0
77,50.0
78,3.0
79,75.0
80,79.0
81,22.0
82,143.0
83,24.0
84,222.0
85,57.0
86,10.0
87,46.0
88,6.0
89,60.0
90,30.0
91,17.0
92,11.0
93,107.0
94,120.0
95,4.0
96,150.0
97,90.0
98,52.0
99,35.0
100,8.0
101,5.0
102,167.0
103,139.0
104,54.0
105,3.0
106,102.0
107,12.0
108,17.0
109,66.0
110,94.0
111,6.0
112,102.0
113,82.0
114,45.0
115,8.0
116,3.0
117,107.0
118,15.0
119,9.0
120,1.0
121,61.0
122,50.0
123,86.0
124,69.0
125,5.0
126,59.0
127,34.0
128,95.0
129,80.0
130,146.0
131,72.0
132,44.0
133,105.0
134,68.0
135,40.0
136,14.0
137,6.0
138,79.0
139,183.0
140,138.0
141,119.0
142,255.0
143,74.0
144,35.0
145,12.0
146,68.0
147,1.0
148,98.0
149,21.0
150,67.0
151,176.0
152,199.0
153,120.0
154,63.0
155,182.0
156,166.0
157,104.0
158,141.0
159,60.0
160,9.0
161,64.0
162,51.0
163,84.0
164,27.0
165,185.0
166,76.0
167,92.0
168,97.0
169,26.0
170,168.0
171,34.0
172,10.0
173,54.0
174,198.0
175,142.0
176,232.0
177,7.0
178,101.0
179,52.0
180,168.0
181,63.0
182,35.0
183,10.0
184,101.0
185,94.0
186,29.0
187,65.0
188,83.0
189,186.0
190,195.0
191,27.0
192,48.0
193,335.0
194,93.0
195,7.0
196,60.0
197,264.0
198,39.0
199,116.0
200,11.0
201,119.0
202,129.0
203,50.0
204,101.0
205,187.0
206,25.0
207,53.0
208,129.0
209,170.0
210,86.0
211,99.0
212,14.0
213,64.0
214,46.0
215,82.0
216,17.0
217,41.0
218,14.0
219,303.0
220,80.0
221,15.0
222,71.0
223,78.0
224,43.0
225,44.0
226,93.0
227,56.0
228,153.0
229,64.0
230,156.0
231,81.0
232,94.0
233,9.0
234,64.0
235,130.0
236,35.0
237,34.0
238,84.0
239,47.0
240,102.0
241,39.0
242,67.0
243,45.0
244,30.0
245,10.0
246,36.0
247,37.0
248,12.0
249,119.0
250,106.0
251,21.0
252,56.0
253,104.0
254,18.0
255,11.0
256,10.0
257,70.0
258,116.0
259,19.0
260,61.0
261,64.0
262,55.0
263,4.0
264,124.0
265,2.0
266,32.0
267,76.0
268,8.0
269,76.0
270,209.0
271,20.0
272,123.0
273,32.0
274,32.0
275,31.0
276,92.0
277,121.0
278,6.0
279,59.0
280,9.0
281,25.0
282,54.0
283,113.0
284,39.0
285,5.0
286,9.0
287,95.0
288,38.0
289,7.0
290,105.0
291,63.0
292,25.0
293,28.0
294,50.0
295,49.0
296,41.0
297,30.0
298,106.0
299,141.0
300,57.0
301,44.0
302,95.0
303,52.0
304,237.0
305,95.0
306,38.0
307,92.0
308,3.0
309,62.0
310,5.0
311,46.0
312,9.0
313,70.0
314,107.0
315,9.0
316,28.0
317,61.0
318,25.0
319,15.0
320,13.0
321,21.0
322,121.0
323,114.0
324,39.0
325,21.0
326,53.0
327,21.0
328,10.0
329,8.0
330,75.0
331,10.0
332,36.0
333,112.0
334,68.0
335,152.0
336,85.0
337,3.0
338,74.0
339,75.0
340,154.0
341,104.0
342,13.0
343,101.0
344,26.0
345,131.0
346,63.0
347,54.0
348,38.0
349,57.0
350,54.0
351,73.0
352,105.0
353,56.0
354,95.0
355,110.0
356,18.0
357,3.0
358,16.0
359,10.0
360,10.0
361,19.0
362,8.0
363,4.0
364,68.0
365,53.0
366,125.0
367,20.0
368,12.0
369,34.0
370,85.0
371,10.0
372,101.0
373,67.0
374,57.0
375,14.0
376,36.0
377,74.0
378,17.0
379,13.0
380,9.0
381,10.0
382,47.0
383,32.0
384,18.0
385,40.0
386,113.0
387,17.0
388,78.0
389,49.0
390,7.0
391,53.0
392,203.0
393,72.0
394,39.0
395,58.0
396,77.0
397,151.0
398,252.0
399,110.0
400,21.0
401,119.0
402,17.0
403,31.0
404,4.0
405,21.0
406,42.0
407,149.0
408,200.0
409,66.0
410,9.0
411,70.0
412,86.0
413,29.0
414,107.0
415,102.0
416,66.0
417,20.0
418,100.0
419,89.0
420,57.0
421,14.0
422,47.0
423,37.0
424,55.0
425,12.0
426,17.0
427,4.0
428,47.0
429,63.0
430,184.0
431,108.0
432,12.0
433,51.0
434,35.0
435,77.0
436,13.0
437,4.0
438,266.0
439,35.0
440,4.0
441,27.0
442,63.0
443,33.0
444,53.0
445,6.0
446,5.0
447,6.0
448,62.0
