,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,0,2.296,0.00013252681398612243,0.0
1,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,1,2.144,-0.003284662547763828,0.0
2,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,2,2.274,-0.00036206638310931627,0.0
3,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,3,2.066,-0.005038220246556646,0.0
4,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,4,2.35,0.0013465282977657145,0.0
5,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,5,2.136,-0.0034645146194349774,0.0
6,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,6,2.366,0.0017062324411077912,0.0
7,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,7,2.252,-0.0008566595802046439,0.0
8,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,8,2.4,0.002470603745709732,0.0
9,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,9,2.18,-0.0024753282252441,0.0
10,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,10,2.352,0.0013914913156833908,0.0
11,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,11,3.434,0.02571648400919302,0.0
12,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,12,2.43,0.003145049014476209,0.0
13,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,13,2.0340000000000003,-0.0056227394794874375,0.0
14,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,14,2.296,0.00026701863578992846,0.0
15,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,15,2.052,-0.005218099608972238,0.0
16,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,16,2.314,0.0006716585063051284,0.0
17,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,17,2.07,-0.004813459738457038,0.0
18,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,18,2.4,0.0026049378876557006,0.0
19,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,19,2.07,-0.004813459738457038,0.0
20,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,20,3.588,0.02931116934166167,0.0
21,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,21,2.192,-0.0020709006160759547,0.0
22,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,22,2.3,0.00035693860701546676,0.0
23,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,23,2.134,-0.0033747401988473147,0.0
24,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,24,2.2840000000000003,-2.7412778869084775e-06,0.0
25,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,25,2.12,-0.0036894600981368653,0.0
26,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,26,2.35,0.0014809382473356392,0.0
27,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,27,2.166,-0.002655380429042453,0.0
28,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,28,2.314,0.0006716585063051284,0.0
29,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,29,2.186,-0.0022057805729143176,0.0
30,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,30,2.33,0.0010313383912076146,0.0
31,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,31,2.108,-0.003959220011813702,0.0
32,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,32,2.3280000000000003,0.00098637840559479,0.0
33,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,33,3.434,0.025849250449475725,0.0
34,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,34,2.424,0.0031444577150093744,0.0
35,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,35,2.158,-0.002835220371493641,0.0
36,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,36,2.342,0.0013010983048844516,0.0
37,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,37,2.056,-0.005128179637746699,0.0
38,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,38,2.376,0.0020654180603020267,0.0
39,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,39,2.106,-0.004004179997426527,0.0
40,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,40,2.408,0.002784777830106888,0.0
41,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,41,2.156,-0.0028801803571064655,0.0
42,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,42,2.464,0.0040436574272654235,0.0
43,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,43,2.224,-0.0013515408462710932,0.0
44,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,44,2.428,0.0032343776862350238,0.0
45,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,45,2.234,-0.0011267409182070809,0.0
46,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,46,2.408,0.002784777830106888,0.0
47,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,47,3.372,0.024455490895478826,0.0
48,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,48,2.318,0.0007615784775307777,0.0
49,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,49,2.166,-0.002655380429042453,0.0
50,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,50,2.386,0.00229021798836615,0.0
51,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,51,2.138,-0.0032848202276216654,0.0
52,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,52,2.336,0.0011662183480459776,0.0
53,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,53,2.23,-0.0012166608894326192,0.0
54,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,54,2.452,0.0037738975135886976,0.0
55,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,55,2.15,-0.0030150603139448284,0.0
56,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,56,2.386,0.00229021798836615,0.0
57,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,57,2.234,-0.0011267409182070809,0.0
58,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,58,2.732,0.010068295499381263,0.0
59,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,59,2.9160000000000004,0.014204614175759356,0.0
60,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,60,2.246,-0.000856981004530244,0.0
61,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,61,2.084,-0.004498739839167376,0.0
62,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,62,2.248,-0.0008120210189174193,0.0
63,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,63,2.096,-0.004228979925490539,0.0
64,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,64,2.266,-0.0004073811484022194,0.0
65,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,65,2.504,0.004942857139521584,0.0
66,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,66,52.26600000000001,1.1235922591717133,0.9848484848484849
67,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,67,54.806,1.1806914408999747,0.0
68,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,68,55.736,1.201597834209929,0.0
69,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,69,11.058,0.19723671560548683,0.0
70,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,70,20.216,0.40310848972651914,0.0
71,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,71,71.306,1.5516113222056127,0.0
72,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,72,55.49800000000001,1.1962475959220056,0.0
73,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,73,25.366,0.518880452679491,0.0
74,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,74,6.994,0.10587802484026787,0.0
75,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,75,5.034,0.061817238939719354,0.0
76,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,76,5.45,0.07116891594718278,0.7
77,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,77,5.4,0.0700449163068626,0.0
78,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,78,5.65,0.07566491450846324,0.0
79,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,79,7.992000000000001,0.12831305766105738,0.0
80,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,80,5.42,0.07049451616299063,0.0
81,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,81,7.802,0.12404185902784093,0.0
82,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,82,5.666,0.07602459439336562,0.0
83,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,83,5.164,0.06473963800455174,0.0
84,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,84,7.2,0.11050890335838681,0.0
85,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,85,5.082,0.0628962785944267,0.0
86,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,86,5.546,0.07332699525659736,0.0
87,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,87,5.282,0.06739227715570717,0.0
88,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,88,5.566,0.07377659511272538,0.0
89,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,89,4.002,0.05119675468843021,0.0
90,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,90,3.512,0.03704962453483285,0.0
91,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,91,1.98,-0.0056227394794874375,0.0
92,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,92,2.278,0.002974323671422807,0.0
93,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,93,2.016,-0.004584168092129137,0.0
94,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,94,3.524,0.03892043335610096,0.0
95,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,95,2.0340000000000003,-0.004064882398450043,0.0
96,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,96,2.25,0.0021665459256996478,0.0
97,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,97,2.068,-0.0030840094215005553,0.6956521739130435
98,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,98,2.3040000000000003,0.0037244030067371536,0.0
99,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,99,2.092,-0.002391628496595022,0.0
100,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,100,2.332,0.004532180752460202,0.0
101,bayesChangePt,ec2_cpu_utilization_fe7f93_adddata-240214123606,101,2.124,-0.0014684539300543475,0.0
