,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,0,2.296,0.00011517715361553105,0.0
1,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,1,2.144,-0.0033020122081344194,0.0
2,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,2,2.274,-0.00037941604347990765,0.0
3,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,3,2.066,-0.0050555699069272375,0.0
4,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,4,2.35,0.001329178637395123,0.0
5,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,5,2.136,-0.003481864279805569,0.0
6,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,6,2.366,0.0016888827807371998,0.0
7,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,7,2.252,-0.0008740092405752353,0.0
8,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,8,2.4,0.0024532540853391405,0.0
9,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,9,2.18,-0.0024926778856146914,0.0
10,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,10,2.352,0.0013741416553127994,0.0
11,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,11,3.434,0.025699134348822428,0.0
12,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,12,2.43,0.0031276993541056175,0.0
13,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,13,2.0340000000000003,-0.005640089139858029,0.0
14,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,14,2.296,0.0002496689754193371,0.0
15,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,15,2.052,-0.005235449269342829,0.0
16,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,16,2.314,0.000654308845934537,0.0
17,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,17,2.07,-0.004830809398827629,0.0
18,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,18,2.4,0.002587588227285109,0.0
19,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,19,2.07,-0.004830809398827629,0.0
20,relativeEntropy,ec2_cpu_utilization_fe7f93_adddata-240214123606,20,3.588,0.029293819681291078,0.0
