,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,0,2.296,0.00017716179243354446,0.0
1,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,1,2.144,-0.003240027569316406,1.0
2,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,2,2.274,-0.00031743140466189423,0.7613110910391733
3,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,3,2.066,-0.004993585268109224,0.9948323499584308
4,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,4,2.35,0.0013911632762131365,0.9496077032930902
5,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,5,2.136,-0.0034198796409875554,0.8047928342116097
6,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,6,2.366,0.0017508674195552132,0.9368761604197101
7,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,7,2.252,-0.0008120246017572219,0.5690540467348706
8,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,8,2.4,0.002515238724157154,0.947310237614465
9,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,9,2.18,-0.002430693246796678,0.7510720826928365
10,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,10,2.352,0.0014361262941308128,0.8413482179205269
11,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,11,3.434,0.02576111898764044,1.0
12,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,12,2.43,0.003189683992923631,0.5880451213639446
13,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,13,2.0340000000000003,-0.005578104501040015,0.8353357883390204
14,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,14,2.296,0.0003116536142373505,0.5428552325388651
15,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,15,2.052,-0.0051734646305248155,0.8096781446141257
16,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,16,2.314,0.0007162934847525504,0.5031642818662323
17,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,17,2.07,-0.004768824760009616,0.7869564918671329
18,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,18,2.4,0.0026495728661031226,0.6326769836760787
19,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,19,2.07,-0.004768824760009616,0.7872669213254606
20,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,20,3.588,0.02935580432010909,0.9999960242580321
21,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,21,2.192,-0.0020262656376285326,0.6586325112791596
22,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,22,2.3,0.0004015735854628888,0.5475002546572414
23,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,23,2.134,-0.0033301052203998927,0.7102818059867468
24,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,24,2.2840000000000003,4.189370056051356e-05,0.5548040415874835
25,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,25,2.12,-0.0036448251196894432,0.7199174607814799
26,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,26,2.35,0.0015255732257830612,0.5272937659713907
27,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,27,2.166,-0.002610745450595031,0.6741176794628826
28,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,28,2.314,0.0007162934847525504,0.5073438960505833
29,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,29,2.186,-0.0021611455944668956,0.6519340710101675
30,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,30,2.33,0.0010759733696550366,0.5167860117355463
31,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,31,2.108,-0.00391458503336628,0.7339398047627417
32,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,32,2.3280000000000003,0.001031013384042212,0.5221168969880365
33,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,33,3.434,0.025893885427923147,0.9997279251861351
34,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,34,2.424,0.0031890926934567965,0.5858182886668077
35,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,35,2.158,-0.0027905853930462188,0.6953385446097985
36,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,36,2.342,0.0013457332833318736,0.5017606761601939
37,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,37,2.056,-0.005083544659299277,0.786333626505463
38,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,38,2.376,0.0021100530387494487,0.5480509470376083
39,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,39,2.106,-0.003959545018979105,0.7414840683518893
40,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,40,2.408,0.00282941280855431,0.5901612524320854
41,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,41,2.156,-0.0028355453786590434,0.6931399203446451
42,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,42,2.464,0.004088292405712846,0.6564645167292387
43,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,43,2.224,-0.0013069058678236711,0.62207380223644
44,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,44,2.428,0.003279012664682446,0.618410933923335
45,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,45,2.234,-0.0010821059397596589,0.6128805808888788
46,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,46,2.408,0.00282941280855431,0.5971957826061577
47,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,47,3.372,0.02450012587392625,0.9993291288996624
48,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,48,2.318,0.0008062134559781997,0.5366042107554603
49,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,49,2.166,-0.002610745450595031,0.6998211442058124
50,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,50,2.386,0.002334852966813572,0.545409912434369
51,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,51,2.138,-0.0032401852491742433,0.7276347447750194
52,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,52,2.336,0.0012108533264933996,0.5081478658064278
53,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,53,2.23,-0.0011720259109851972,0.6301473880058449
54,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,54,2.452,0.0038185324920361197,0.6293398524747793
55,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,55,2.15,-0.0029704253354974064,0.718020745097443
56,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,56,2.386,0.002334852966813572,0.5558322468948458
57,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,57,2.234,-0.0010821059397596589,0.6264474239866676
58,windowedGaussian,ec2_cpu_utilization_fe7f93_adddata-240214123606,58,2.732,0.010112930477828685,0.8858668723590201
