,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,0,33.4447,0.5378305032948225,1.0
1,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,1,33.4447,0.5378305032948225,1.0
2,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,2,35.9521,0.5378305032948225,1.0
3,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,3,30.7692,0.24950798527779416,1.0
4,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,4,33.4447,0.39834490996369554,1.0
5,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,5,33.4427,0.39823365081610773,1.0
6,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,6,35.8336,0.5312383988002307,1.0
7,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,7,33.4447,0.39834490996369554,1.0
8,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,8,33.3333,0.3921477754430418,1.0
9,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,9,35.9543,0.5378305032948225,1.0
10,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,10,30.7692,0.24940324980914763,1.0
11,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,11,33.4447,0.3982310673441849,1.0
12,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,12,33.4427,0.3981198150044094,1.0
13,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,13,33.6667,0.41058007705929556,1.0
14,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,14,33.554,0.40431100771293105,1.0
15,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,15,35.7143,0.52448022252173,1.0
16,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,16,30.7692,0.24940324980914763,1.0
17,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,17,33.4427,0.3981198150044094,1.0
18,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,18,33.3333,0.39203431201867467,1.0
19,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,19,35.9557,0.5378305032948225,1.0
20,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,20,30.7692,0.24933660663865953,1.0
21,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,21,33.556,0.4043495809375883,1.0
22,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,22,33.3333,0.39196211525064606,1.0
23,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,23,35.7143,0.5244028687334039,1.0
24,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,24,35.9507,0.537552383274909,1.0
25,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,25,33.3333,0.39196211525064606,1.0
26,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,26,33.5553,0.4043106441348008,1.0
27,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,27,35.8336,0.5310388124085372,1.0
28,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,28,31.0262,0.26363197566220786,1.0
29,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,29,33.3333,0.39196211525064606,1.0
30,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,30,33.446,0.3982309404994937,1.0
31,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,31,33.4447,0.3981586292943162,1.0
32,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,32,35.7143,0.5244028687334039,1.0
33,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,33,33.615,0.4076313971725667,1.0
34,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,34,33.3333,0.39196211525064606,1.0
35,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,35,33.4447,0.3981586292943162,1.0
36,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,36,35.835,0.5311166860141132,1.0
37,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,37,33.3333,0.39196211525064606,1.0
38,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,38,33.446,0.3982309404994937,1.0
39,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,39,33.446,0.3982309404994937,1.0
40,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,40,35.8336,0.5310388124085372,1.0
41,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,41,30.8954,0.2563563559412736,1.0
42,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,42,33.4447,0.3981586292943162,1.0
43,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,43,33.3333,0.39196211525064606,1.0
44,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,44,35.835,0.5311166860141132,1.0
45,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,45,33.4742,0.3997995374118055,1.0
46,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,46,33.446,0.3982309404994937,1.0
47,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,47,33.4447,0.3981586292943162,1.0
48,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,48,35.835,0.5311166860141132,1.0
49,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,49,30.7692,0.24933660663865953,1.0
50,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,50,33.4427,0.3980473812863512,1.0
