,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,grok_asg_anomaly_adddata-240214123615,0,33.4447,0.5377690681659437,0.0
1,bayesChangePt,grok_asg_anomaly_adddata-240214123615,1,33.4447,0.5377690681659437,0.0
2,bayesChangePt,grok_asg_anomaly_adddata-240214123615,2,35.9521,0.5377690681659437,0.0
3,bayesChangePt,grok_asg_anomaly_adddata-240214123615,3,30.7692,0.24944655014891542,0.0
4,bayesChangePt,grok_asg_anomaly_adddata-240214123615,4,33.4447,0.3982834748348168,0.0
5,bayesChangePt,grok_asg_anomaly_adddata-240214123615,5,33.4427,0.398172215687229,0.0
6,bayesChangePt,grok_asg_anomaly_adddata-240214123615,6,35.8336,0.5311769636713519,0.0
7,bayesChangePt,grok_asg_anomaly_adddata-240214123615,7,33.4447,0.3982834748348168,0.0
8,bayesChangePt,grok_asg_anomaly_adddata-240214123615,8,33.3333,0.39208634031416306,0.0
9,bayesChangePt,grok_asg_anomaly_adddata-240214123615,9,35.9543,0.5377690681659437,0.0
10,bayesChangePt,grok_asg_anomaly_adddata-240214123615,10,30.7692,0.2493418146802689,0.0
11,bayesChangePt,grok_asg_anomaly_adddata-240214123615,11,33.4447,0.39816963221530616,0.0
12,bayesChangePt,grok_asg_anomaly_adddata-240214123615,12,33.4427,0.39805837987553067,0.0
13,bayesChangePt,grok_asg_anomaly_adddata-240214123615,13,33.6667,0.4105186419304168,0.0
14,bayesChangePt,grok_asg_anomaly_adddata-240214123615,14,33.554,0.4042495725840523,0.0
15,bayesChangePt,grok_asg_anomaly_adddata-240214123615,15,35.7143,0.5244187873928512,0.0
16,bayesChangePt,grok_asg_anomaly_adddata-240214123615,16,30.7692,0.2493418146802689,0.0
17,bayesChangePt,grok_asg_anomaly_adddata-240214123615,17,33.4427,0.39805837987553067,0.0
18,bayesChangePt,grok_asg_anomaly_adddata-240214123615,18,33.3333,0.39197287688979593,0.0
19,bayesChangePt,grok_asg_anomaly_adddata-240214123615,19,35.9557,0.5377690681659437,0.0
20,bayesChangePt,grok_asg_anomaly_adddata-240214123615,20,30.7692,0.2492751715097808,0.0
21,bayesChangePt,grok_asg_anomaly_adddata-240214123615,21,33.556,0.4042881458087096,0.0
22,bayesChangePt,grok_asg_anomaly_adddata-240214123615,22,33.3333,0.3919006801217673,0.0
23,bayesChangePt,grok_asg_anomaly_adddata-240214123615,23,35.7143,0.5243414336045251,0.0
24,bayesChangePt,grok_asg_anomaly_adddata-240214123615,24,35.9507,0.5374909481460302,0.0
25,bayesChangePt,grok_asg_anomaly_adddata-240214123615,25,33.3333,0.3919006801217673,0.0
26,bayesChangePt,grok_asg_anomaly_adddata-240214123615,26,33.5553,0.40424920900592204,0.0
27,bayesChangePt,grok_asg_anomaly_adddata-240214123615,27,35.8336,0.5309773772796584,0.0
28,bayesChangePt,grok_asg_anomaly_adddata-240214123615,28,31.0262,0.2635705405333291,0.0
29,bayesChangePt,grok_asg_anomaly_adddata-240214123615,29,33.3333,0.3919006801217673,0.0
30,bayesChangePt,grok_asg_anomaly_adddata-240214123615,30,33.446,0.39816950537061496,0.0
31,bayesChangePt,grok_asg_anomaly_adddata-240214123615,31,33.4447,0.3980971941654375,0.0
32,bayesChangePt,grok_asg_anomaly_adddata-240214123615,32,35.7143,0.5243414336045251,0.0
33,bayesChangePt,grok_asg_anomaly_adddata-240214123615,33,33.615,0.40756996204368795,0.0
34,bayesChangePt,grok_asg_anomaly_adddata-240214123615,34,33.3333,0.3919006801217673,0.0
35,bayesChangePt,grok_asg_anomaly_adddata-240214123615,35,33.4447,0.3980971941654375,0.0
36,bayesChangePt,grok_asg_anomaly_adddata-240214123615,36,35.835,0.5310552508852344,0.0
37,bayesChangePt,grok_asg_anomaly_adddata-240214123615,37,33.3333,0.3919006801217673,0.0
38,bayesChangePt,grok_asg_anomaly_adddata-240214123615,38,33.446,0.39816950537061496,0.0
39,bayesChangePt,grok_asg_anomaly_adddata-240214123615,39,33.446,0.39816950537061496,0.0
40,bayesChangePt,grok_asg_anomaly_adddata-240214123615,40,35.8336,0.5309773772796584,0.0
41,bayesChangePt,grok_asg_anomaly_adddata-240214123615,41,30.8954,0.25629492081239486,0.0
42,bayesChangePt,grok_asg_anomaly_adddata-240214123615,42,33.4447,0.3980971941654375,0.0
43,bayesChangePt,grok_asg_anomaly_adddata-240214123615,43,33.3333,0.3919006801217673,0.0
44,bayesChangePt,grok_asg_anomaly_adddata-240214123615,44,35.835,0.5310552508852344,0.0
45,bayesChangePt,grok_asg_anomaly_adddata-240214123615,45,33.4742,0.3997381022829268,0.0
46,bayesChangePt,grok_asg_anomaly_adddata-240214123615,46,33.446,0.39816950537061496,0.0
47,bayesChangePt,grok_asg_anomaly_adddata-240214123615,47,33.4447,0.3980971941654375,0.0
48,bayesChangePt,grok_asg_anomaly_adddata-240214123615,48,35.835,0.5310552508852344,0.0
49,bayesChangePt,grok_asg_anomaly_adddata-240214123615,49,30.7692,0.2492751715097808,0.0
50,bayesChangePt,grok_asg_anomaly_adddata-240214123615,50,33.4427,0.39798594615747246,0.0
51,bayesChangePt,grok_asg_anomaly_adddata-240214123615,51,33.4427,0.39798594615747246,0.0
52,bayesChangePt,grok_asg_anomaly_adddata-240214123615,52,35.8336,0.5309773772796584,0.0
53,bayesChangePt,grok_asg_anomaly_adddata-240214123615,53,30.7692,0.2492751715097808,0.0
