,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,grok_asg_anomaly_adddata-240214123615,0,33.4447,0.5378021664533763,0.0
1,contextOSE,grok_asg_anomaly_adddata-240214123615,1,33.4447,0.5378021664533763,0.0
2,contextOSE,grok_asg_anomaly_adddata-240214123615,2,35.9521,0.5378021664533763,0.0
3,contextOSE,grok_asg_anomaly_adddata-240214123615,3,30.7692,0.24947964843634796,0.0
4,contextOSE,grok_asg_anomaly_adddata-240214123615,4,33.4447,0.39831657312224933,0.0
5,contextOSE,grok_asg_anomaly_adddata-240214123615,5,33.4427,0.3982053139746615,0.0
6,contextOSE,grok_asg_anomaly_adddata-240214123615,6,35.8336,0.5312100619587845,0.0
7,contextOSE,grok_asg_anomaly_adddata-240214123615,7,33.4447,0.39831657312224933,0.0
8,contextOSE,grok_asg_anomaly_adddata-240214123615,8,33.3333,0.3921194386015956,0.0
9,contextOSE,grok_asg_anomaly_adddata-240214123615,9,35.9543,0.5378021664533763,0.0
10,contextOSE,grok_asg_anomaly_adddata-240214123615,10,30.7692,0.24937491296770142,0.0
11,contextOSE,grok_asg_anomaly_adddata-240214123615,11,33.4447,0.3982027305027387,0.0
12,contextOSE,grok_asg_anomaly_adddata-240214123615,12,33.4427,0.3980914781629632,0.0
13,contextOSE,grok_asg_anomaly_adddata-240214123615,13,33.6667,0.41055174021784935,0.0
14,contextOSE,grok_asg_anomaly_adddata-240214123615,14,33.554,0.40428267087148484,0.0
15,contextOSE,grok_asg_anomaly_adddata-240214123615,15,35.7143,0.5244518856802838,0.0
16,contextOSE,grok_asg_anomaly_adddata-240214123615,16,30.7692,0.24937491296770142,0.0
17,contextOSE,grok_asg_anomaly_adddata-240214123615,17,33.4427,0.3980914781629632,0.0
18,contextOSE,grok_asg_anomaly_adddata-240214123615,18,33.3333,0.39200597517722846,0.0
19,contextOSE,grok_asg_anomaly_adddata-240214123615,19,35.9557,0.5378021664533763,0.0
20,contextOSE,grok_asg_anomaly_adddata-240214123615,20,30.7692,0.24930826979721332,0.0
21,contextOSE,grok_asg_anomaly_adddata-240214123615,21,33.556,0.4043212440961421,0.0
22,contextOSE,grok_asg_anomaly_adddata-240214123615,22,33.3333,0.39193377840919985,0.0
23,contextOSE,grok_asg_anomaly_adddata-240214123615,23,35.7143,0.5243745318919577,0.0
24,contextOSE,grok_asg_anomaly_adddata-240214123615,24,35.9507,0.5375240464334627,0.0
25,contextOSE,grok_asg_anomaly_adddata-240214123615,25,33.3333,0.39193377840919985,0.0
26,contextOSE,grok_asg_anomaly_adddata-240214123615,26,33.5553,0.40428230729335457,0.0
27,contextOSE,grok_asg_anomaly_adddata-240214123615,27,35.8336,0.531010475567091,0.0
28,contextOSE,grok_asg_anomaly_adddata-240214123615,28,31.0262,0.26360363882076165,0.0
29,contextOSE,grok_asg_anomaly_adddata-240214123615,29,33.3333,0.39193377840919985,0.0
30,contextOSE,grok_asg_anomaly_adddata-240214123615,30,33.446,0.3982026036580475,0.0
31,contextOSE,grok_asg_anomaly_adddata-240214123615,31,33.4447,0.39813029245287,0.0
32,contextOSE,grok_asg_anomaly_adddata-240214123615,32,35.7143,0.5243745318919577,0.0
33,contextOSE,grok_asg_anomaly_adddata-240214123615,33,33.615,0.4076030603311205,0.0
34,contextOSE,grok_asg_anomaly_adddata-240214123615,34,33.3333,0.39193377840919985,0.0
35,contextOSE,grok_asg_anomaly_adddata-240214123615,35,33.4447,0.39813029245287,0.0
36,contextOSE,grok_asg_anomaly_adddata-240214123615,36,35.835,0.531088349172667,0.0
37,contextOSE,grok_asg_anomaly_adddata-240214123615,37,33.3333,0.39193377840919985,0.0
38,contextOSE,grok_asg_anomaly_adddata-240214123615,38,33.446,0.3982026036580475,0.0
39,contextOSE,grok_asg_anomaly_adddata-240214123615,39,33.446,0.3982026036580475,0.0
40,contextOSE,grok_asg_anomaly_adddata-240214123615,40,35.8336,0.531010475567091,0.0
41,contextOSE,grok_asg_anomaly_adddata-240214123615,41,30.8954,0.2563280190998274,0.0
42,contextOSE,grok_asg_anomaly_adddata-240214123615,42,33.4447,0.39813029245287,0.0
43,contextOSE,grok_asg_anomaly_adddata-240214123615,43,33.3333,0.39193377840919985,0.0
44,contextOSE,grok_asg_anomaly_adddata-240214123615,44,35.835,0.531088349172667,0.0
45,contextOSE,grok_asg_anomaly_adddata-240214123615,45,33.4742,0.3997712005703593,0.0
46,contextOSE,grok_asg_anomaly_adddata-240214123615,46,33.446,0.3982026036580475,0.0
47,contextOSE,grok_asg_anomaly_adddata-240214123615,47,33.4447,0.39813029245287,0.0
48,contextOSE,grok_asg_anomaly_adddata-240214123615,48,35.835,0.531088349172667,0.0
49,contextOSE,grok_asg_anomaly_adddata-240214123615,49,30.7692,0.24930826979721332,0.0
50,contextOSE,grok_asg_anomaly_adddata-240214123615,50,33.4427,0.398019044444905,0.0
51,contextOSE,grok_asg_anomaly_adddata-240214123615,51,33.4427,0.398019044444905,0.0
52,contextOSE,grok_asg_anomaly_adddata-240214123615,52,35.8336,0.531010475567091,0.0
53,contextOSE,grok_asg_anomaly_adddata-240214123615,53,30.7692,0.24930826979721332,0.0
54,contextOSE,grok_asg_anomaly_adddata-240214123615,54,33.4447,0.39813029245287,0.0
55,contextOSE,grok_asg_anomaly_adddata-240214123615,55,33.3333,0.39193377840919985,0.0
56,contextOSE,grok_asg_anomaly_adddata-240214123615,56,35.8336,0.531010475567091,0.0
57,contextOSE,grok_asg_anomaly_adddata-240214123615,57,30.8954,0.2563280190998274,0.0
58,contextOSE,grok_asg_anomaly_adddata-240214123615,58,33.4447,0.39813029245287,0.0
59,contextOSE,grok_asg_anomaly_adddata-240214123615,59,33.4447,0.39813029245287,0.0
60,contextOSE,grok_asg_anomaly_adddata-240214123615,60,35.7143,0.5243745318919577,0.0
61,contextOSE,grok_asg_anomaly_adddata-240214123615,61,30.8977,0.2564559543089875,0.0
62,contextOSE,grok_asg_anomaly_adddata-240214123615,62,33.554,0.4042099960881771,0.0
63,contextOSE,grok_asg_anomaly_adddata-240214123615,63,33.446,0.3982026036580475,0.0
64,contextOSE,grok_asg_anomaly_adddata-240214123615,64,35.9543,0.5377242928478008,0.0
65,contextOSE,grok_asg_anomaly_adddata-240214123615,65,30.7692,0.24930826979721332,0.0
66,contextOSE,grok_asg_anomaly_adddata-240214123615,66,33.4447,0.39813029245287,0.0
67,contextOSE,grok_asg_anomaly_adddata-240214123615,67,33.4447,0.39813029245287,0.0
68,contextOSE,grok_asg_anomaly_adddata-240214123615,68,35.7143,0.5243745318919577,0.0
69,contextOSE,grok_asg_anomaly_adddata-240214123615,69,31.0277,0.2636870748267357,0.0
70,contextOSE,grok_asg_anomaly_adddata-240214123615,70,33.3333,0.39193377840919985,0.0
71,contextOSE,grok_asg_anomaly_adddata-240214123615,71,33.552,0.4040987480802116,0.0
72,contextOSE,grok_asg_anomaly_adddata-240214123615,72,35.7143,0.5243745318919577,0.0
73,contextOSE,grok_asg_anomaly_adddata-240214123615,73,30.7692,0.24930826979721332,0.0
74,contextOSE,grok_asg_anomaly_adddata-240214123615,74,33.556,0.4043212440961421,0.0
75,contextOSE,grok_asg_anomaly_adddata-240214123615,75,33.554,0.4042099960881771,0.0
76,contextOSE,grok_asg_anomaly_adddata-240214123615,76,35.7143,0.5243745318919577,0.0
77,contextOSE,grok_asg_anomaly_adddata-240214123615,77,30.7692,0.24930826979721332,0.0
78,contextOSE,grok_asg_anomaly_adddata-240214123615,78,33.5573,0.4043935553013196,0.0
79,contextOSE,grok_asg_anomaly_adddata-240214123615,79,33.3333,0.39193377840919985,0.0
80,contextOSE,grok_asg_anomaly_adddata-240214123615,80,35.8336,0.531010475567091,0.0
81,contextOSE,grok_asg_anomaly_adddata-240214123615,81,30.7692,0.24930826979721332,0.0
82,contextOSE,grok_asg_anomaly_adddata-240214123615,82,33.4427,0.398019044444905,0.0
83,contextOSE,grok_asg_anomaly_adddata-240214123615,83,33.4447,0.39813029245287,0.0
84,contextOSE,grok_asg_anomaly_adddata-240214123615,84,35.7143,0.5243745318919577,0.0
85,contextOSE,grok_asg_anomaly_adddata-240214123615,85,35.9507,0.5375240464334627,0.0
