,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,knncad,grok_asg_anomaly_adddata-240214123615,0,33.4447,0.5378560721822008,0.0
1,knncad,grok_asg_anomaly_adddata-240214123615,1,33.4447,0.5378560721822008,0.0
2,knncad,grok_asg_anomaly_adddata-240214123615,2,35.9521,0.5378560721822008,0.0
3,knncad,grok_asg_anomaly_adddata-240214123615,3,30.7692,0.24953355416517242,0.0
4,knncad,grok_asg_anomaly_adddata-240214123615,4,33.4447,0.3983704788510738,0.0
5,knncad,grok_asg_anomaly_adddata-240214123615,5,33.4427,0.398259219703486,0.0
6,knncad,grok_asg_anomaly_adddata-240214123615,6,35.8336,0.531263967687609,0.0
7,knncad,grok_asg_anomaly_adddata-240214123615,7,33.4447,0.3983704788510738,0.0
8,knncad,grok_asg_anomaly_adddata-240214123615,8,33.3333,0.39217334433042006,0.0
9,knncad,grok_asg_anomaly_adddata-240214123615,9,35.9543,0.5378560721822008,0.0
10,knncad,grok_asg_anomaly_adddata-240214123615,10,30.7692,0.2494288186965259,0.0
11,knncad,grok_asg_anomaly_adddata-240214123615,11,33.4447,0.39825663623156315,0.0
12,knncad,grok_asg_anomaly_adddata-240214123615,12,33.4427,0.39814538389178766,0.0
13,knncad,grok_asg_anomaly_adddata-240214123615,13,33.6667,0.4106056459466738,0.0
14,knncad,grok_asg_anomaly_adddata-240214123615,14,33.554,0.4043365766003093,0.0
15,knncad,grok_asg_anomaly_adddata-240214123615,15,35.7143,0.5245057914091082,0.0
16,knncad,grok_asg_anomaly_adddata-240214123615,16,30.7692,0.2494288186965259,0.0
17,knncad,grok_asg_anomaly_adddata-240214123615,17,33.4427,0.39814538389178766,0.0
18,knncad,grok_asg_anomaly_adddata-240214123615,18,33.3333,0.3920598809060529,0.0
19,knncad,grok_asg_anomaly_adddata-240214123615,19,35.9557,0.5378560721822008,0.0
20,knncad,grok_asg_anomaly_adddata-240214123615,20,30.7692,0.2493621755260378,0.0
21,knncad,grok_asg_anomaly_adddata-240214123615,21,33.556,0.4043751498249666,0.0
22,knncad,grok_asg_anomaly_adddata-240214123615,22,33.3333,0.3919876841380243,0.0
23,knncad,grok_asg_anomaly_adddata-240214123615,23,35.7143,0.5244284376207822,0.0
24,knncad,grok_asg_anomaly_adddata-240214123615,24,35.9507,0.5375779521622872,0.0
25,knncad,grok_asg_anomaly_adddata-240214123615,25,33.3333,0.3919876841380243,0.0
26,knncad,grok_asg_anomaly_adddata-240214123615,26,33.5553,0.40433621302217904,0.0
27,knncad,grok_asg_anomaly_adddata-240214123615,27,35.8336,0.5310643812959155,0.0
28,knncad,grok_asg_anomaly_adddata-240214123615,28,31.0262,0.2636575445495861,0.0
29,knncad,grok_asg_anomaly_adddata-240214123615,29,33.3333,0.3919876841380243,0.0
30,knncad,grok_asg_anomaly_adddata-240214123615,30,33.446,0.39825650938687196,0.0
31,knncad,grok_asg_anomaly_adddata-240214123615,31,33.4447,0.3981841981816945,0.0
32,knncad,grok_asg_anomaly_adddata-240214123615,32,35.7143,0.5244284376207822,0.0
33,knncad,grok_asg_anomaly_adddata-240214123615,33,33.615,0.40765696605994495,0.0
34,knncad,grok_asg_anomaly_adddata-240214123615,34,33.3333,0.3919876841380243,0.0
35,knncad,grok_asg_anomaly_adddata-240214123615,35,33.4447,0.3981841981816945,0.0
36,knncad,grok_asg_anomaly_adddata-240214123615,36,35.835,0.5311422549014915,0.0
37,knncad,grok_asg_anomaly_adddata-240214123615,37,33.3333,0.3919876841380243,0.0
38,knncad,grok_asg_anomaly_adddata-240214123615,38,33.446,0.39825650938687196,0.0
39,knncad,grok_asg_anomaly_adddata-240214123615,39,33.446,0.39825650938687196,0.0
40,knncad,grok_asg_anomaly_adddata-240214123615,40,35.8336,0.5310643812959155,0.0
41,knncad,grok_asg_anomaly_adddata-240214123615,41,30.8954,0.25638192482865185,0.0
42,knncad,grok_asg_anomaly_adddata-240214123615,42,33.4447,0.3981841981816945,0.0
43,knncad,grok_asg_anomaly_adddata-240214123615,43,33.3333,0.3919876841380243,0.0
44,knncad,grok_asg_anomaly_adddata-240214123615,44,35.835,0.5311422549014915,0.0
45,knncad,grok_asg_anomaly_adddata-240214123615,45,33.4742,0.3998251062991838,0.0
46,knncad,grok_asg_anomaly_adddata-240214123615,46,33.446,0.39825650938687196,0.0
47,knncad,grok_asg_anomaly_adddata-240214123615,47,33.4447,0.3981841981816945,0.0
48,knncad,grok_asg_anomaly_adddata-240214123615,48,35.835,0.5311422549014915,0.0
49,knncad,grok_asg_anomaly_adddata-240214123615,49,30.7692,0.2493621755260378,0.0
50,knncad,grok_asg_anomaly_adddata-240214123615,50,33.4427,0.39807295017372946,0.0
51,knncad,grok_asg_anomaly_adddata-240214123615,51,33.4427,0.39807295017372946,0.0
52,knncad,grok_asg_anomaly_adddata-240214123615,52,35.8336,0.5310643812959155,0.0
53,knncad,grok_asg_anomaly_adddata-240214123615,53,30.7692,0.2493621755260378,0.0
