,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,grok_asg_anomaly_adddata-240214123615,0,33.4447,0.5377559049832257,0.0
1,relativeEntropy,grok_asg_anomaly_adddata-240214123615,1,33.4447,0.5377559049832257,0.0
2,relativeEntropy,grok_asg_anomaly_adddata-240214123615,2,35.9521,0.5377559049832257,0.0
3,relativeEntropy,grok_asg_anomaly_adddata-240214123615,3,30.7692,0.24943338696619727,0.0
4,relativeEntropy,grok_asg_anomaly_adddata-240214123615,4,33.4447,0.39827031165209864,0.0
5,relativeEntropy,grok_asg_anomaly_adddata-240214123615,5,33.4427,0.39815905250451084,0.0
6,relativeEntropy,grok_asg_anomaly_adddata-240214123615,6,35.8336,0.5311638004886339,0.0
7,relativeEntropy,grok_asg_anomaly_adddata-240214123615,7,33.4447,0.39827031165209864,0.0
8,relativeEntropy,grok_asg_anomaly_adddata-240214123615,8,33.3333,0.3920731771314449,0.0
9,relativeEntropy,grok_asg_anomaly_adddata-240214123615,9,35.9543,0.5377559049832257,0.0
10,relativeEntropy,grok_asg_anomaly_adddata-240214123615,10,30.7692,0.24932865149755074,0.0
11,relativeEntropy,grok_asg_anomaly_adddata-240214123615,11,33.4447,0.398156469032588,0.0
12,relativeEntropy,grok_asg_anomaly_adddata-240214123615,12,33.4427,0.3980452166928125,0.0
13,relativeEntropy,grok_asg_anomaly_adddata-240214123615,13,33.6667,0.41050547874769866,0.0
14,relativeEntropy,grok_asg_anomaly_adddata-240214123615,14,33.554,0.40423640940133415,0.0
15,relativeEntropy,grok_asg_anomaly_adddata-240214123615,15,35.7143,0.5244056242101331,0.0
16,relativeEntropy,grok_asg_anomaly_adddata-240214123615,16,30.7692,0.24932865149755074,0.0
17,relativeEntropy,grok_asg_anomaly_adddata-240214123615,17,33.4427,0.3980452166928125,0.0
18,relativeEntropy,grok_asg_anomaly_adddata-240214123615,18,33.3333,0.3919597137070778,0.0
19,relativeEntropy,grok_asg_anomaly_adddata-240214123615,19,35.9557,0.5377559049832257,0.0
20,relativeEntropy,grok_asg_anomaly_adddata-240214123615,20,30.7692,0.24926200832706263,0.0
21,relativeEntropy,grok_asg_anomaly_adddata-240214123615,21,33.556,0.40427498262599143,0.0
22,relativeEntropy,grok_asg_anomaly_adddata-240214123615,22,33.3333,0.39188751693904916,0.0
23,relativeEntropy,grok_asg_anomaly_adddata-240214123615,23,35.7143,0.5243282704218071,0.0
24,relativeEntropy,grok_asg_anomaly_adddata-240214123615,24,35.9507,0.5374777849633121,0.0
25,relativeEntropy,grok_asg_anomaly_adddata-240214123615,25,33.3333,0.39188751693904916,0.0
26,relativeEntropy,grok_asg_anomaly_adddata-240214123615,26,33.5553,0.4042360458232039,0.0
27,relativeEntropy,grok_asg_anomaly_adddata-240214123615,27,35.8336,0.5309642140969404,0.0
28,relativeEntropy,grok_asg_anomaly_adddata-240214123615,28,31.0262,0.26355737735061097,0.0
29,relativeEntropy,grok_asg_anomaly_adddata-240214123615,29,33.3333,0.39188751693904916,0.0
30,relativeEntropy,grok_asg_anomaly_adddata-240214123615,30,33.446,0.3981563421878968,0.0
31,relativeEntropy,grok_asg_anomaly_adddata-240214123615,31,33.4447,0.39808403098271933,0.0
32,relativeEntropy,grok_asg_anomaly_adddata-240214123615,32,35.7143,0.5243282704218071,0.0
33,relativeEntropy,grok_asg_anomaly_adddata-240214123615,33,33.615,0.4075567988609698,0.0
34,relativeEntropy,grok_asg_anomaly_adddata-240214123615,34,33.3333,0.39188751693904916,0.0
35,relativeEntropy,grok_asg_anomaly_adddata-240214123615,35,33.4447,0.39808403098271933,0.0
36,relativeEntropy,grok_asg_anomaly_adddata-240214123615,36,35.835,0.5310420877025164,0.0
37,relativeEntropy,grok_asg_anomaly_adddata-240214123615,37,33.3333,0.39188751693904916,0.0
38,relativeEntropy,grok_asg_anomaly_adddata-240214123615,38,33.446,0.3981563421878968,0.0
39,relativeEntropy,grok_asg_anomaly_adddata-240214123615,39,33.446,0.3981563421878968,0.0
40,relativeEntropy,grok_asg_anomaly_adddata-240214123615,40,35.8336,0.5309642140969404,0.0
