,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,grok_asg_anomaly_adddata-240214123615,0,33.4447,0.5377720472565115,0.0
1,windowedGaussian,grok_asg_anomaly_adddata-240214123615,1,33.4447,0.5377720472565115,0.5
2,windowedGaussian,grok_asg_anomaly_adddata-240214123615,2,35.9521,0.5377720472565115,0.5
3,windowedGaussian,grok_asg_anomaly_adddata-240214123615,3,30.7692,0.24944952923948316,1.0
4,windowedGaussian,grok_asg_anomaly_adddata-240214123615,4,33.4447,0.39828645392538453,0.7053667242524555
5,windowedGaussian,grok_asg_anomaly_adddata-240214123615,5,33.4427,0.3981751947777967,0.6809581984076157
6,windowedGaussian,grok_asg_anomaly_adddata-240214123615,6,35.8336,0.5311799427619197,0.7949940676920254
7,windowedGaussian,grok_asg_anomaly_adddata-240214123615,7,33.4447,0.39828645392538453,0.7106159750206057
8,windowedGaussian,grok_asg_anomaly_adddata-240214123615,8,33.3333,0.3920893194047308,0.7164705322791232
9,windowedGaussian,grok_asg_anomaly_adddata-240214123615,9,35.9543,0.5377720472565115,0.8431880633902687
10,windowedGaussian,grok_asg_anomaly_adddata-240214123615,10,30.7692,0.24934479377083663,0.9840974013301689
11,windowedGaussian,grok_asg_anomaly_adddata-240214123615,11,33.4447,0.3981726113058739,0.6290091633349983
12,windowedGaussian,grok_asg_anomaly_adddata-240214123615,12,33.4427,0.3980613589660984,0.6235734723066173
13,windowedGaussian,grok_asg_anomaly_adddata-240214123615,13,33.6667,0.41052162102098455,0.5698492812660487
14,windowedGaussian,grok_asg_anomaly_adddata-240214123615,14,33.554,0.40425255167462004,0.5928167948131275
15,windowedGaussian,grok_asg_anomaly_adddata-240214123615,15,35.7143,0.524421766483419,0.8574063200420599
16,windowedGaussian,grok_asg_anomaly_adddata-240214123615,16,30.7692,0.24934479377083663,0.9749113684077114
17,windowedGaussian,grok_asg_anomaly_adddata-240214123615,17,33.4427,0.3980613589660984,0.5898399891093915
18,windowedGaussian,grok_asg_anomaly_adddata-240214123615,18,33.3333,0.39197585598036366,0.6114224703088962
19,windowedGaussian,grok_asg_anomaly_adddata-240214123615,19,35.9557,0.5377720472565115,0.8967006926799703
20,windowedGaussian,grok_asg_anomaly_adddata-240214123615,20,30.7692,0.24927815060034852,0.9656161032107071
21,windowedGaussian,grok_asg_anomaly_adddata-240214123615,21,33.556,0.4042911248992773,0.5450589691783181
22,windowedGaussian,grok_asg_anomaly_adddata-240214123615,22,33.3333,0.39190365921233505,0.5933890291193723
23,windowedGaussian,grok_asg_anomaly_adddata-240214123615,23,35.7143,0.5243444126950929,0.8732459906803723
24,windowedGaussian,grok_asg_anomaly_adddata-240214123615,24,35.9507,0.537493927236598,0.8895674411282086
25,windowedGaussian,grok_asg_anomaly_adddata-240214123615,25,33.3333,0.39190365921233505,0.6266850808657461
26,windowedGaussian,grok_asg_anomaly_adddata-240214123615,26,33.5553,0.4042521880964898,0.5744496437291743
27,windowedGaussian,grok_asg_anomaly_adddata-240214123615,27,35.8336,0.5309803563702262,0.876675998474022
28,windowedGaussian,grok_asg_anomaly_adddata-240214123615,28,31.0262,0.26357351962389686,0.9560822751810585
29,windowedGaussian,grok_asg_anomaly_adddata-240214123615,29,33.3333,0.39190365921233505,0.612845050302379
30,windowedGaussian,grok_asg_anomaly_adddata-240214123615,30,33.446,0.3981724844611827,0.5856757137993078
31,windowedGaussian,grok_asg_anomaly_adddata-240214123615,31,33.4447,0.3981001732560052,0.5845384246763794
32,windowedGaussian,grok_asg_anomaly_adddata-240214123615,32,35.7143,0.5243444126950929,0.8732839375987209
33,windowedGaussian,grok_asg_anomaly_adddata-240214123615,33,33.615,0.4075729411342557,0.5566931130661981
34,windowedGaussian,grok_asg_anomaly_adddata-240214123615,34,33.3333,0.39190365921233505,0.6217367456845966
35,windowedGaussian,grok_asg_anomaly_adddata-240214123615,35,33.4447,0.3981001732560052,0.5937515444917913
36,windowedGaussian,grok_asg_anomaly_adddata-240214123615,36,35.835,0.5310582299758022,0.8932533606230928
37,windowedGaussian,grok_asg_anomaly_adddata-240214123615,37,33.3333,0.39190365921233505,0.6307810737486771
38,windowedGaussian,grok_asg_anomaly_adddata-240214123615,38,33.446,0.3981724844611827,0.60217831612873
39,windowedGaussian,grok_asg_anomaly_adddata-240214123615,39,33.446,0.3981724844611827,0.6008037141159512
40,windowedGaussian,grok_asg_anomaly_adddata-240214123615,40,35.8336,0.5309803563702262,0.897522036645115
41,windowedGaussian,grok_asg_anomaly_adddata-240214123615,41,30.8954,0.2562978999029626,0.9708327124957359
42,windowedGaussian,grok_asg_anomaly_adddata-240214123615,42,33.4447,0.3981001732560052,0.590950555199571
43,windowedGaussian,grok_asg_anomaly_adddata-240214123615,43,33.3333,0.39190365921233505,0.6165134491639335
44,windowedGaussian,grok_asg_anomaly_adddata-240214123615,44,35.835,0.5310582299758022,0.8992345300985998
45,windowedGaussian,grok_asg_anomaly_adddata-240214123615,45,33.4742,0.3997410813734945,0.5913814800811795
46,windowedGaussian,grok_asg_anomaly_adddata-240214123615,46,33.446,0.3981724844611827,0.5972385594104017
47,windowedGaussian,grok_asg_anomaly_adddata-240214123615,47,33.4447,0.3981001732560052,0.5964786393496949
48,windowedGaussian,grok_asg_anomaly_adddata-240214123615,48,35.835,0.5310582299758022,0.9022764158017521
49,windowedGaussian,grok_asg_anomaly_adddata-240214123615,49,30.7692,0.24927815060034852,0.9758387894631707
50,windowedGaussian,grok_asg_anomaly_adddata-240214123615,50,33.4427,0.3979889252480402,0.5877781944017719
51,windowedGaussian,grok_asg_anomaly_adddata-240214123615,51,33.4427,0.3979889252480402,0.586886012481787
52,windowedGaussian,grok_asg_anomaly_adddata-240214123615,52,35.8336,0.5309803563702262,0.9024999531261961
53,windowedGaussian,grok_asg_anomaly_adddata-240214123615,53,30.7692,0.24927815060034852,0.9727079922100456
54,windowedGaussian,grok_asg_anomaly_adddata-240214123615,54,33.4447,0.3981001732560052,0.5787432116813918
55,windowedGaussian,grok_asg_anomaly_adddata-240214123615,55,33.3333,0.39190365921233505,0.6048173042058211
56,windowedGaussian,grok_asg_anomaly_adddata-240214123615,56,35.8336,0.5309803563702262,0.9030884213701262
57,windowedGaussian,grok_asg_anomaly_adddata-240214123615,57,30.8954,0.2562978999029626,0.9640186287892533
58,windowedGaussian,grok_asg_anomaly_adddata-240214123615,58,33.4447,0.3981001732560052,0.5717477842545606
59,windowedGaussian,grok_asg_anomaly_adddata-240214123615,59,33.4447,0.3981001732560052,0.5711242007271795
60,windowedGaussian,grok_asg_anomaly_adddata-240214123615,60,35.7143,0.5243444126950929,0.8906028842444401
61,windowedGaussian,grok_asg_anomaly_adddata-240214123615,61,30.8977,0.2564258351121227,0.9616565999577716
62,windowedGaussian,grok_asg_anomaly_adddata-240214123615,62,33.554,0.4041798768913123,0.5395680938928674
63,windowedGaussian,grok_asg_anomaly_adddata-240214123615,63,33.446,0.3981724844611827,0.5654029398896111
64,windowedGaussian,grok_asg_anomaly_adddata-240214123615,64,35.9543,0.537694173650936,0.916891798025538
65,windowedGaussian,grok_asg_anomaly_adddata-240214123615,65,30.7692,0.24927815060034852,0.9659274661879046
66,windowedGaussian,grok_asg_anomaly_adddata-240214123615,66,33.4447,0.3981001732560052,0.5611695239464822
67,windowedGaussian,grok_asg_anomaly_adddata-240214123615,67,33.4447,0.3981001732560052,0.560704235870019
68,windowedGaussian,grok_asg_anomaly_adddata-240214123615,68,35.7143,0.5243444126950929,0.8917993990780845
