Unnamed: 0,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score,score_AnDePeDPro,score_bayesChangePt,score_contextOSE,score_earthgeckoSkyline,score_knncad,score_relativeEntropy,score_windowedGaussian,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,is_ground_truth,is_final_anomaly
0,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,0,251643.0,0.8657814125534073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,243013.5,8629.5,0,False,0
1,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,1,3203510.0,1.9983133117414285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,243337.0,2960173.0,0,False,0
2,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,2,287397.0,0.0496898913448896,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9926803348851077,2,0,243013.5,44383.5,0,False,0
3,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,3,238944.0,0.017312322098268,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8837439022565493,1,0,243337.0,4393.0,0,False,0
4,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,4,245880.0,0.0219471397626968,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.8111253424980753,1,0,243568.0,2312.0,0,False,0
5,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,5,234170.0,0.0141222097092854,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.771560029415345,1,0,243337.0,9167.0,0,False,0
6,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,6,255797.0,0.0285739400478957,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7357530139510727,1,0,243013.5,12783.5,0,False,0
7,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,7,244002.0,0.0206922107584007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7186603627735912,1,0,243337.0,665.0,0,False,0
8,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,8,514385.0,0.2013692442879922,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6031566672235937,1,0,243013.5,271371.5,0,False,0
9,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,9,270883.0,0.0386548021132897,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6920180039458842,1,0,242690.0,28193.0,0,False,0
10,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,10,249887.0,0.0246247225743123,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6889722638747038,1,0,243013.5,6873.5,0,False,0
11,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,11,3201940.0,1.9972641964396476,1.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.9980508495673704,2,0,243337.0,2958603.0,0,False,0
12,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,12,280638.0,0.0451733497367763,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7047247162548854,1,0,243568.0,37070.0,0,False,0
13,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,13,3231740.0,1.9983133117414285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9871134454847716,1,0,243799.0,2987941.0,0,False,0
14,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,14,223158.0,0.0066847421664079,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7408307969613488,1,0,243843.5,20685.5,0,False,0
