Unnamed: 0,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score,score_AnDePeDPro,score_bayesChangePt,score_contextOSE,score_earthgeckoSkyline,score_knncad,score_relativeEntropy,score_windowedGaussian,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,is_ground_truth,is_final_anomaly
0,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,0,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.066,0.0,0,False,0
1,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,1,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0.066,0.0,0,False,0
2,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,2,0.068,-0.0038375156262726,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,0.066,0.0020000000000000018,0,False,0
3,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,3,0.134,0.0966191053782936,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,0.066,0.068,0,False,0
4,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,4,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7257403540492877,1,0,0.066,0.0,0,False,0
5,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,5,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6978773510231229,1,0,0.066,0.0,0,False,0
6,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,6,0.134,0.0966191053782936,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9872955620511488,1,0,0.066,0.068,0,False,0
7,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,7,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7406645610712665,1,0,0.066,0.0,0,False,0
8,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,8,0.068,-0.0038375156262726,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6985874613848634,1,0,0.066,0.0020000000000000018,0,False,0
9,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,9,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7104441720441951,1,0,0.066,0.0,0,False,0
10,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,10,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6978773510231229,1,0,0.066,0.0,0,False,0
11,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,11,0.134,0.0966191053782936,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9830154023569916,1,0,0.066,0.068,0,False,0
12,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,12,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7231966502448237,1,0,0.066,0.0,0,False,0
13,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,13,0.068,-0.0038375156262726,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.688427085077036,1,0,0.066,0.0020000000000000018,0,False,0
14,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,14,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7059941282218016,1,0,0.066,0.0,0,False,0
15,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,15,0.132,0.0935749653478521,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9728936926054084,1,0,0.066,0.066,0,False,0
16,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,16,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7238509060975766,1,0,0.066,0.0,0,False,0
17,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,17,0.068,-0.0038375156262726,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.691594854003994,1,0,0.066,0.0020000000000000018,0,False,0
18,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,18,0.132,0.0935749653478521,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9653132980873096,1,0,0.066,0.066,0,False,0
19,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,19,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.731311615481245,1,0,0.066,0.0,0,False,0
20,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,20,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7242554301713571,1,0,0.066,0.0,0,False,0
21,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,21,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7178044842505991,1,0,0.066,0.0,0,False,0
22,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,22,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7118774014951954,1,0,0.066,0.0,0,False,0
23,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,23,0.134,0.0966191053782936,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9729146436207166,1,0,0.066,0.068,0,False,0
24,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,24,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7232198730622748,1,0,0.066,0.0,0,False,0
25,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,25,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7178383381640652,1,0,0.066,0.0,0,False,0
26,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,26,0.066,-0.0068816556567139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7128262840203784,1,0,0.066,0.0,0,False,0
