Unnamed: 0,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score,score_AnDePeDPro,score_bayesChangePt,score_contextOSE,score_earthgeckoSkyline,score_knncad,score_relativeEntropy,score_windowedGaussian,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,is_ground_truth,is_final_anomaly
0,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,0,2.296,0.0001559305983067,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2.4,0.10400000000000009,0,False,0
1,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,1,2.144,-0.0032612587634431,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,2.4,0.2559999999999998,0,False,0
2,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,2,2.274,-0.0003386625987886,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7613110910391733,1,0,2.3979999999999997,0.12399999999999967,0,False,0
3,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,3,2.066,-0.005014816462236,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9948323499584308,2,0,2.396,0.33000000000000007,0,False,0
4,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,4,2.35,0.0013699320820863,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9496077032930902,1,0,2.391,0.040999999999999925,0,False,0
5,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,5,2.136,-0.0034411108351143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8047928342116097,1,0,2.386,0.25,0,False,0
6,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,6,2.366,0.0017296362254284,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.93687616041971,1,0,2.386,0.020000000000000018,0,False,0
7,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,7,2.252,-0.000833255795884,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5690540467348706,1,0,2.386,0.13400000000000034,0,False,0
8,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,8,2.4,0.0024940075300303,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.947310237614465,1,0,2.386,0.01399999999999979,0,False,0
9,AnDePeDPro,ec2_cpu_utilization_fe7f93_adddata-240214123606,9,2.18,-0.0024519244409234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7510720826928365,1,0,2.386,0.20599999999999996,0,False,0
