Unnamed: 0,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score,score_AnDePeDPro,score_bayesChangePt,score_contextOSE,score_earthgeckoSkyline,score_knncad,score_relativeEntropy,score_windowedGaussian,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,is_ground_truth,is_final_anomaly
0,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,0,33.4447,0.5378305032948225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,33.446,0.001300000000000523,0,False,0
1,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,1,33.4447,0.5378305032948225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,33.446,0.001300000000000523,0,False,0
2,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,2,35.9521,0.5378305032948225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,33.446,2.5061000000000035,0,False,0
3,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,3,30.7692,0.2495079852777941,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,33.446,2.6767999999999965,0,False,0
4,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,4,33.4447,0.3983449099636955,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7053667242524555,1,0,33.446,0.001300000000000523,0,False,0
5,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,5,33.4427,0.3982336508161077,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6809581984076157,1,0,33.446,0.003299999999995862,0,False,0
6,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,6,35.8336,0.5312383988002307,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7949940676920254,1,0,33.446,2.387599999999999,0,False,0
7,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,7,33.4447,0.3983449099636955,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7106159750206057,1,0,33.446,0.001300000000000523,0,False,0
8,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,8,33.3333,0.3921477754430418,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7164705322791232,1,0,33.446,0.11269999999999669,0,False,0
9,AnDePeDPro,grok_asg_anomaly_adddata-240214123615,9,35.9543,0.5378305032948225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8431880633902687,1,0,33.446,2.5083000000000055,0,False,0
